Frequency,User,Location,State,County,Last Confirmed,Monitored From,Strength (1-5),Notes,Mode,Licensee,Allocation,Profile,Transmitter Location,URL
161.3700,AAR Ch. 84,,US,,,,,,,,,AAR
161.3850,AAR Ch. 85,,US,,,,,,,,,AAR
161.4000,AAR Ch. 86,,US,,,,,,,,,AAR
161.4150,AAR Ch. 87,,US,,,,,,,,,AAR
161.4300,AAR Ch. 88,,US,,,,,,,,,AAR
161.4450,AAR Ch. 89,,US,,,,,,,,,AAR
161.4600,AAR Ch. 90,,US,,,,,,,,,AAR
161.4750,AAR Ch. 91,,US,,,,,,,,,AAR
161.4900,AAR Ch. 92,,US,,,,,,,,,AAR
161.5050,AAR Ch. 93,,US,,,,,,,,,AAR
161.5200,AAR Ch. 94,,US,,,,,,,,,AAR
161.5350,AAR Ch. 95,,US,,,,,,,,,AAR
161.5500,AAR Ch. 96,,US,,,,,,,,,AAR
161.5650,AAR Ch. 97,,US,,,,,,,,,AAR
161.6100,"AAR Ch. 98 - While We're At It, Don't Forget AAR Channel 98, The 'Grandfathered' Rock Island Frequency Of 161.610 That Is Still Licensed In Some Areas For RR Use.""",,US,,,,,,,,,AAR
153.0350,Arrow Materials & Excavating Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
452.7250,Austin Environmental,,FL,Flagler,,,,,,,,"Flagler County, FL"
457.7250,Austin Environmental,,FL,Flagler,,,,,,,,"Flagler County, FL"
464.7250,Bunnell Cypress Company,,FL,Flagler,,,,,,,,"Flagler County, FL"
464.7750,Bunnell Cypress Company,,FL,Flagler,,,,,,,,"Flagler County, FL"
154.1000,City Of Bunnell,Bunnell,FL,Flagler,,,,,,,,"Flagler County, FL"
452.4750,Clegg Sod Farm Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
457.4750,Clegg Sod Farm Inc,,FL,Flagler,,,,,,,,"Flagler County, FL"
37.1800,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
39.5800,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
39.9800,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
151.1750,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
153.7550,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
154.3250,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
154.4000,Flagler County,,FL,Flagler,,,,,,,,"Flagler County, FL"
